Step,E_pot,E_kin,Temp,AddedToTrainingSet
0,-125.0363,3.0875,597.1,FALSE
1,-125.033,3.0084,581.9,FALSE
2,-125.0293,3.046,589.1,FALSE
3,-125.026,3.1195,603.3,FALSE
4,-125.0227,3.0685,593.5,FALSE
5,-125.0201,3.0984,599.3,FALSE
6,-125.0181,3.0718,594.1,FALSE
7,-125.0162,3.0931,598.2,FALSE
8,-125.0141,3.1248,604.4,FALSE
9,-125.0124,3.027,585.5,FALSE
10,-125.0118,2.9411,568.8,FALSE
11,-125.0109,2.8293,547.2,FALSE
12,-125.0103,2.8221,545.8,FALSE
13,-125.0108,2.7803,537.7,FALSE
14,-125.0113,2.8057,542.7,FALSE
15,-125.0121,2.8202,545.5,FALSE
16,-125.0125,2.8833,557.6,FALSE
17,-125.013,2.8289,547.1,FALSE
18,-125.0132,2.9239,565.5,FALSE
19,-125.0125,2.8445,550.2,FALSE
20,-125.0123,2.9251,565.7,FALSE
21,-125.0122,2.9369,568,FALSE
22,-125.0122,2.9739,575.2,FALSE
23,-125.0121,2.9882,577.9,FALSE
24,-125.013,3.0116,582.5,FALSE
25,-125.0151,2.9959,579.4,FALSE
26,-125.0178,2.9269,566.1,FALSE
27,-125.021,2.9798,576.3,FALSE
28,-125.0248,3.045,588.9,FALSE
29,-125.0289,3.0484,589.6,FALSE
30,-125.0331,3.0144,583,FALSE
31,-125.0368,3.0158,583.3,FALSE
32,-125.0394,3.0394,587.8,FALSE
33,-125.0414,3.0601,591.8,FALSE
34,-125.0429,3.0751,594.7,FALSE
35,-125.0449,3.0403,588,FALSE
36,-125.0474,3.0068,581.5,FALSE
37,-125.05,2.9894,578.2,FALSE
38,-125.0524,2.9683,574.1,FALSE
39,-125.0553,2.916,564,FALSE
40,-125.0582,2.9011,561.1,FALSE
41,-125.0613,2.906,562,FALSE
42,-125.0642,2.9179,564.4,FALSE
43,-125.0668,2.888,558.6,FALSE
44,-125.0692,2.9397,568.6,FALSE
45,-125.0706,2.8975,560.4,FALSE
46,-125.0718,2.9322,567.1,FALSE
47,-125.0729,2.9326,567.2,FALSE
48,-125.074,3.0136,582.8,FALSE
49,-125.0759,3.1211,603.7,FALSE
50,-125.0777,3.1847,615.9,FALSE
51,-125.0794,3.1801,615.1,FALSE
52,-125.0813,3.1805,615.1,FALSE
53,-125.0831,3.1554,610.3,FALSE
54,-125.0838,3.1744,614,FALSE
55,-125.0843,3.1947,617.9,FALSE
56,-125.0843,3.2503,628.6,FALSE
57,-125.0842,3.2941,637.1,FALSE
58,-125.0839,3.2964,637.6,FALSE
59,-125.0833,3.282,634.8,FALSE
60,-125.0828,3.2953,637.3,FALSE
61,-125.0825,3.3422,646.4,FALSE
62,-125.0817,3.2917,636.6,FALSE
63,-125.0794,3.2641,631.3,FALSE
64,-125.0776,3.2824,634.9,FALSE
65,-125.0761,3.2431,627.3,FALSE
66,-125.0745,3.1362,606.6,FALSE
67,-125.0734,3.1832,615.7,FALSE
68,-125.0726,3.162,611.6,FALSE
69,-125.0709,3.1751,614.1,FALSE
70,-125.0685,3.0957,598.7,FALSE
71,-125.0646,3.1382,607,FALSE
72,-125.0606,3.1209,603.6,FALSE
73,-125.0566,3.1196,603.4,FALSE
74,-125.0523,3.029,585.8,FALSE
75,-125.0475,3.0627,592.3,FALSE
76,-125.042,3.0425,588.4,FALSE
77,-125.0369,3.0804,595.8,FALSE
78,-125.032,3.1613,611.4,FALSE
79,-125.0265,3.0588,591.6,FALSE
80,-125.0204,3.0443,588.8,FALSE
81,-125.0143,3.0632,592.4,FALSE
82,-125.0087,3.0425,588.4,FALSE
83,-125.0027,3.0921,598,FALSE
84,-124.9961,3.0173,583.6,FALSE
85,-124.9901,3.0108,582.3,FALSE
86,-124.9839,3.0081,581.8,FALSE
87,-124.9779,3.0627,592.4,FALSE
88,-124.9727,3.0038,581,FALSE
89,-124.9669,2.9887,578,FALSE
90,-124.9607,2.91,562.8,FALSE
91,-124.9548,2.9692,574.3,FALSE
92,-124.9487,3.1257,604.5,FALSE
93,-124.9428,3.1412,607.5,FALSE
94,-124.9376,3.1348,606.3,FALSE
95,-124.933,3.1485,609,FALSE
96,-124.9291,3.135,606.3,FALSE
97,-124.9252,3.2552,629.6,FALSE
98,-124.9217,3.235,625.7,FALSE
99,-124.9189,3.1823,615.5,FALSE
100,-124.9178,3.1019,599.9,FALSE
101,-124.9176,3.0709,593.9,FALSE
102,-124.9179,3.1165,602.8,FALSE
103,-124.9188,3.1038,600.3,FALSE
