Step,E_pot,E_kin,Temp,AddedToTrainingSet
0,-127.2876,1.5511,300.0,False
1,-127.2879,1.5354,297.0,True
2,-126.7076,1.5845,306.5,False
3,-126.7072,1.6282,314.9,False
4,-126.7065,1.6337,316.0,False
5,-126.7055,1.7145,331.6,False
6,-126.7042,1.6916,327.2,False
7,-126.7025,1.6812,325.2,False
8,-126.7004,1.6547,320.0,False
9,-126.6981,1.6124,311.9,False
10,-126.6954,1.5702,303.7,False
11,-127.2720,1.5968,308.8,True
12,-126.6895,1.5512,300.0,False
13,-126.6859,1.5757,304.7,False
14,-126.6821,1.5364,297.1,False
15,-126.6781,1.5528,300.3,False
16,-126.6740,1.5396,297.8,False
17,-126.6695,1.5602,301.8,False
18,-126.6648,1.5167,293.4,False
19,-126.6600,1.4783,285.9,False
20,-126.6550,1.4881,287.8,False
21,-127.2281,1.5059,291.2,True
22,-126.6444,1.5546,300.7,False
23,-126.6385,1.5676,303.2,False
24,-126.6323,1.5944,308.4,False
25,-126.6258,1.5980,309.1,False
26,-126.6190,1.6018,309.8,False
27,-126.6120,1.5937,308.2,False
28,-126.6048,1.5920,307.9,False
29,-126.5975,1.5630,302.3,False
30,-126.5899,1.5538,300.5,False
31,-127.1578,1.5479,299.4,True
32,-126.5746,1.5171,293.4,False
33,-126.5670,1.4737,285.0,False
34,-126.5594,1.5047,291.0,False
35,-126.5517,1.4837,287.0,False
36,-126.5440,1.4418,278.9,False
37,-126.5362,1.4340,277.3,False
38,-126.5283,1.4522,280.9,False
39,-126.5204,1.4579,282.0,False
40,-126.5123,1.4542,281.3,False
41,-127.0769,1.4493,280.3,True
42,-126.4959,1.4489,280.2,False
43,-126.4878,1.4513,280.7,False
44,-126.4797,1.4173,274.1,False
45,-126.4715,1.3921,269.2,False
46,-126.4633,1.3511,261.3,False
47,-126.4553,1.3655,264.1,False
48,-126.4476,1.3210,255.5,False
49,-126.4401,1.3105,253.5,False
50,-126.4325,1.3417,259.5,False
51,-126.9942,1.3885,268.5,True
52,-126.4169,1.3578,262.6,False
53,-126.4093,1.3529,261.7,False
54,-126.4017,1.3367,258.5,False
55,-126.3941,1.3078,252.9,False
56,-126.3865,1.3098,253.3,False
57,-126.3788,1.2966,250.8,False
58,-126.3714,1.3215,255.6,False
59,-126.3642,1.3009,251.6,False
60,-126.3572,1.3135,254.0,False
61,-126.9157,1.3395,259.1,True
62,-126.3437,1.3241,256.1,False
63,-126.3371,1.3027,252.0,False
64,-126.3303,1.3171,254.7,False
65,-126.3231,1.3183,255.0,False
66,-126.3160,1.3074,252.9,False
67,-126.3091,1.3319,257.6,False
68,-126.3027,1.3082,253.0,False
69,-126.2961,1.3259,256.4,False
70,-126.2895,1.2570,243.1,False
71,-126.8433,1.2445,240.7,True
72,-126.2764,1.2357,239.0,False
73,-126.2702,1.2230,236.5,False
74,-126.2641,1.2287,237.6,False
75,-126.2579,1.2405,239.9,False
76,-126.2516,1.2219,236.3,False
77,-126.2459,1.2090,233.8,False
78,-126.2404,1.2246,236.8,False
79,-126.2352,1.2321,238.3,False
80,-126.2300,1.2146,234.9,False
81,-126.7802,1.1897,230.1,True
82,-126.2208,1.2066,233.4,False
83,-126.2164,1.2191,235.8,False
84,-126.2120,1.2497,241.7,False
85,-126.2078,1.2805,247.7,False
86,-126.2037,1.2951,250.5,False
87,-126.2001,1.3155,254.4,False
88,-126.1965,1.3136,254.1,False
89,-126.1929,1.3093,253.2,False
90,-126.1895,1.3243,256.1,False
91,-126.7337,1.3185,255.0,True
92,-126.1828,1.3086,253.1,False
93,-126.1799,1.2722,246.0,False
94,-126.1775,1.2758,246.8,False
95,-126.1753,1.2668,245.0,False
96,-126.1733,1.2594,243.6,False
97,-126.1713,1.2674,245.1,False
98,-126.1693,1.2717,246.0,False
99,-126.1673,1.3001,251.5,False
100,-126.1652,1.3288,257.0,False
101,-126.7020,1.3109,253.5,True
102,-126.1617,1.3256,256.4,False
103,-126.1598,1.3109,253.5,False
104,-126.1574,1.3050,252.4,False
105,-126.1551,1.2902,249.5,False
106,-126.1532,1.3015,251.7,False
107,-126.1519,1.2810,247.8,False
108,-126.1506,1.2954,250.5,False
109,-126.1491,1.2895,249.4,False
110,-126.1476,1.2719,246.0,False
111,-126.6741,1.2819,247.9,True
112,-126.1442,1.2869,248.9,False
113,-126.1423,1.2777,247.1,False
114,-126.1401,1.2929,250.1,False
115,-126.1379,1.2932,250.1,False
116,-126.1356,1.2918,249.8,False
117,-126.1336,1.2719,246.0,False
118,-126.1316,1.3044,252.3,False
119,-126.1295,1.3078,252.9,False
120,-126.1273,1.2909,249.7,False
121,-126.6425,1.2612,243.9,True
122,-126.1228,1.2476,241.3,False
123,-126.1206,1.2073,233.5,False
124,-126.1180,1.2234,236.6,False
125,-126.1153,1.1965,231.4,False
126,-126.1125,1.1760,227.4,False
127,-126.1094,1.1821,228.6,False
128,-126.1061,1.1735,227.0,False
129,-126.1028,1.1780,227.8,False
130,-126.0995,1.1882,229.8,False
131,-126.6009,1.1260,217.8,True
132,-126.0933,1.1546,223.3,False
133,-126.0899,1.1563,223.6,False
134,-126.0864,1.1413,220.7,False
135,-126.0831,1.1210,216.8,False
136,-126.0796,1.1229,217.2,False
137,-126.0763,1.1546,223.3,False
138,-126.0730,1.1824,228.7,False
139,-126.0692,1.1870,229.6,False
140,-126.0652,1.1627,224.9,False
141,-126.5500,1.1534,223.1,True
142,-126.0568,1.1287,218.3,False
143,-126.0527,1.1065,214.0,False
144,-126.0487,1.1623,224.8,False
145,-126.0447,1.1583,224.0,False
146,-126.0408,1.1484,222.1,False
147,-126.0371,1.1278,218.1,False
148,-126.0335,1.1183,216.3,False
149,-126.0298,1.1071,214.1,False
150,-126.0263,1.0963,212.0,False
151,-126.4930,1.0883,210.5,True
152,-126.0195,1.0723,207.4,False
153,-126.0162,1.0770,208.3,False
154,-126.0129,1.0828,209.4,False
155,-126.0095,1.0713,207.2,False
156,-126.0061,1.0506,203.2,False
157,-126.0031,1.0610,205.2,False
158,-126.0003,1.0192,197.1,False
159,-125.9981,1.0317,199.5,False
160,-125.9957,1.0494,203.0,False
161,-126.4447,1.0384,200.8,True
162,-125.9907,1.0404,201.2,False
163,-125.9875,1.0566,204.4,False
164,-125.9843,1.0590,204.8,False
165,-125.9813,1.0901,210.8,False
166,-125.9785,1.0575,204.5,False
167,-125.9758,1.0954,211.9,False
168,-125.9733,1.1309,218.7,False
169,-125.9706,1.1209,216.8,False
170,-125.9679,1.1357,219.7,False
171,-126.3984,1.1348,219.5,True
172,-125.9639,1.1176,216.2,False
173,-125.9622,1.1031,213.4,False
174,-125.9603,1.1048,213.7,False
175,-125.9580,1.1095,214.6,False
176,-125.9558,1.1221,217.0,False
177,-125.9537,1.1589,224.1,False
178,-125.9513,1.1339,219.3,False
179,-125.9488,1.1843,229.1,False
180,-125.9465,1.1934,230.8,False
181,-126.3586,1.2072,233.5,True
182,-125.9412,1.2288,237.7,False
183,-125.9388,1.2103,234.1,False
184,-125.9366,1.1674,225.8,False
185,-125.9347,1.2011,232.3,False
186,-125.9329,1.1900,230.1,False
187,-125.9315,1.1619,224.7,False
188,-125.9303,1.1671,225.7,False
189,-125.9287,1.1645,225.2,False
190,-125.9269,1.1885,229.9,False
191,-126.3227,1.1915,230.4,True
192,-125.9229,1.2203,236.0,False
193,-125.9212,1.2134,234.7,False
194,-125.9198,1.2091,233.8,False
195,-125.9186,1.2088,233.8,False
196,-125.9176,1.2379,239.4,False
197,-125.9165,1.2138,234.8,False
198,-125.9152,1.1385,220.2,False
199,-125.9139,1.1338,219.3,False
200,-125.9125,1.1060,213.9,False
201,-126.2935,1.0801,208.9,True
202,-125.9101,1.0722,207.4,False
203,-125.9088,1.0848,209.8,False
204,-125.9076,1.1273,218.0,False
205,-125.9063,1.1105,214.8,False
206,-125.9053,1.1292,218.4,False
207,-125.9046,1.1590,224.2,False
208,-125.9042,1.1588,224.1,False
209,-125.9042,1.1405,220.6,False
210,-125.9043,1.1138,215.4,False
211,-126.2731,1.0834,209.5,True
212,-125.9046,1.1021,213.2,False
213,-125.9054,1.1021,213.2,False
214,-125.9064,1.0713,207.2,False
215,-125.9076,1.0955,211.9,False
216,-125.9088,1.1071,214.1,False
217,-125.9097,1.1461,221.7,False
218,-125.9103,1.1389,220.3,False
219,-125.9110,1.1296,218.5,False
220,-125.9114,1.1151,215.7,False
221,-126.2694,1.1244,217.5,True
222,-125.9130,1.1375,220.0,False
223,-125.9137,1.1365,219.8,False
224,-125.9147,1.1658,225.5,False
225,-125.9158,1.1718,226.6,False
226,-125.9171,1.1813,228.5,False
227,-125.9186,1.1675,225.8,False
228,-125.9202,1.2017,232.4,False
229,-125.9217,1.1722,226.7,False
230,-125.9232,1.1839,229.0,False
231,-126.2693,1.1891,230.0,True
232,-125.9265,1.1666,225.6,False
233,-125.9281,1.1985,231.8,False
234,-125.9297,1.1904,230.2,False
235,-125.9313,1.2159,235.2,False
236,-125.9333,1.1803,228.3,False
237,-125.9357,1.1933,230.8,False
238,-125.9384,1.1657,225.5,False
239,-125.9410,1.2006,232.2,False
240,-125.9434,1.2002,232.1,False
241,-126.2772,1.1934,230.8,True
242,-125.9479,1.1648,225.3,False
243,-125.9500,1.1780,227.8,False
244,-125.9521,1.2339,238.6,False
245,-125.9539,1.2385,239.5,False
246,-125.9554,1.2580,243.3,False
247,-125.9569,1.2653,244.7,False
248,-125.9586,1.2772,247.0,False
249,-125.9603,1.2670,245.1,False
250,-125.9620,1.2891,249.3,False
251,-126.2843,1.3331,257.8,True
252,-125.9654,1.3061,252.6,False
253,-125.9670,1.2523,242.2,False
254,-125.9688,1.2811,247.8,False
255,-125.9707,1.2868,248.9,False
256,-125.9729,1.3039,252.2,False
257,-125.9754,1.2905,249.6,False
258,-125.9779,1.2835,248.2,False
