Step,E_pot,E_kin,Temp,AddedToTrainingSet
0,-340.1313,18.1998,2200.0,False
1,-340.0425,18.1179,2190.1,False
2,-339.7816,17.8914,2162.7,False
3,-339.3642,17.3822,2101.2,False
4,-338.7993,16.8103,2032.0,False
5,-338.1222,15.7184,1900.0,False
6,-337.3520,14.9275,1804.4,False
7,-336.5194,13.8204,1670.6,False
8,-335.6368,13.1981,1595.4,False
9,-334.7222,12.4620,1506.4,False
10,-333.8074,11.6108,1403.5,False
11,-332.9225,10.6468,1287.0,False
12,-332.0785,9.7477,1178.3,False
13,-331.2986,9.0401,1092.8,False
14,-330.6118,8.3466,1008.9,False
15,-330.0154,7.7511,937.0,False
16,-329.5229,7.2320,874.2,False
17,-329.1410,6.8554,828.7,False
18,-328.8563,6.4868,784.1,False
19,-328.6819,6.2998,761.5,False
20,-328.5917,6.3575,768.5,False
21,-328.5823,6.1838,747.5,False
22,-328.6434,6.1802,747.1,False
23,-328.7835,6.3064,762.3,False
24,-328.9740,6.5855,796.1,False
25,-329.1949,6.9066,834.9,False
26,-329.4579,7.3388,887.1,False
27,-329.7255,7.4461,900.1,False
28,-329.9778,7.7288,934.3,False
29,-330.2183,8.2755,1000.3,False
30,-330.4406,8.8094,1064.9,False
31,-330.6239,9.3893,1135.0,False
32,-330.7654,9.7286,1176.0,False
33,-330.8644,9.8714,1193.3,False
34,-330.9232,10.0539,1215.3,False
35,-330.9276,10.0750,1217.9,False
36,-330.8859,10.0346,1213.0,False
37,-330.7966,10.2047,1233.5,False
38,-330.6700,10.0448,1214.2,False
39,-330.5045,10.0919,1219.9,False
40,-330.2992,9.8885,1195.3,False
41,-330.0725,9.5966,1160.0,False
42,-329.8243,9.3857,1134.5,False
43,-329.5600,8.7816,1061.5,False
44,-329.2800,8.4679,1023.6,False
45,-329.0021,8.4722,1024.1,False
46,-328.7195,8.0392,971.8,False
47,-328.4562,8.0270,970.3,False
48,-328.2103,8.0667,975.1,False
49,-327.9727,7.8152,944.7,False
50,-327.7468,7.4597,901.7,False
51,-327.5537,7.5352,910.9,False
52,-327.3700,7.4100,895.7,False
53,-327.2121,7.2164,872.3,False
54,-327.0923,7.3242,885.3,False
55,-326.9928,7.0581,853.2,False
56,-326.9215,6.9554,840.8,False
57,-326.8935,6.9529,840.5,False
58,-326.8962,7.0100,847.4,False
59,-326.9320,7.0099,847.4,False
60,-327.0089,7.2384,875.0,False
61,-327.1160,7.4840,904.7,False
62,-327.2476,7.6976,930.5,False
63,-327.4379,8.1872,989.7,False
64,-327.6567,8.4362,1019.8,False
65,-327.8940,8.6232,1042.4,False
66,-328.1488,8.7971,1063.4,False
67,-328.4084,9.2588,1119.2,False
68,-328.6668,9.3608,1131.5,False
69,-328.9084,9.6237,1163.3,False
70,-329.1356,9.7150,1174.3,False
71,-329.3359,10.0670,1216.9,False
