Step,E_pot,E_kin,Temp,AddedToTrainingSet
0,-126.1673,1.3196,255.2,False
1,-126.1662,1.3186,255.0,False
2,-126.1648,1.3119,253.7,False
3,-126.1638,1.3641,263.8,False
4,-126.1633,1.4533,281.1,False
5,-126.1631,1.4616,282.7,False
6,-126.1624,1.4620,282.8,False
7,-126.1610,1.4437,279.2,False
8,-126.1594,1.4837,287.0,False
9,-126.1579,1.4676,283.8,False
10,-126.1563,1.5072,291.5,False
11,-126.1556,1.5513,300.0,False
12,-126.1551,1.5863,306.8,False
13,-126.1545,1.5630,302.3,False
14,-126.1545,1.5761,304.8,False
15,-126.1541,1.6026,309.9,False
16,-126.1540,1.6244,314.2,False
17,-126.1543,1.6561,320.3,False
18,-126.1546,1.5950,308.5,False
19,-126.1550,1.5951,308.5,False
20,-126.1558,1.6304,315.3,False
21,-126.1571,1.5855,306.6,False
22,-126.1583,1.6508,319.3,False
23,-126.1592,1.6586,320.8,False
24,-126.1594,1.6645,321.9,False
25,-126.1591,1.7323,335.0,False
26,-126.1582,1.7409,336.7,False
27,-126.1573,1.6948,327.8,False
28,-126.1566,1.6786,324.7,False
29,-126.1564,1.7392,336.4,False
30,-126.1563,1.7691,342.2,False
31,-126.1558,1.7539,339.2,False
32,-126.1556,1.8154,351.1,False
33,-126.1548,1.7666,341.7,False
34,-126.1533,1.7978,347.7,False
35,-126.1521,1.7822,344.7,False
36,-126.1506,1.7912,346.4,False
37,-126.1495,1.8355,355.0,False
38,-126.1488,1.8652,360.7,False
39,-126.1479,1.8960,366.7,False
40,-126.1470,1.8778,363.2,False
41,-126.1460,1.9125,369.9,False
42,-126.1441,1.8968,366.9,False
43,-126.1419,1.9905,385.0,False
44,-126.1397,2.0323,393.1,False
45,-126.1370,2.0522,396.9,False
46,-126.1344,2.0888,404.0,False
47,-126.1321,2.0592,398.3,False
48,-126.1298,2.1048,407.1,False
49,-126.1262,2.1730,420.3,False
50,-126.1222,2.1675,419.2,False
51,-126.1183,2.1638,418.5,False
52,-126.1145,2.1276,411.5,False
53,-126.1104,2.0774,401.8,False
54,-126.1067,2.1046,407.0,False
55,-126.1031,2.0981,405.8,False
56,-126.1000,2.1122,408.5,False
57,-126.0963,2.1383,413.6,False
58,-126.0928,2.2434,433.9,False
59,-126.0896,2.1868,422.9,False
60,-126.0863,2.1743,420.5,False
61,-126.0831,2.2392,433.1,False
62,-126.0791,2.1873,423.0,False
63,-126.0737,2.1747,420.6,False
64,-126.0671,2.2481,434.8,False
65,-126.0601,2.2163,428.7,False
66,-126.0529,2.2321,431.7,False
67,-126.0455,2.1648,418.7,False
68,-126.0383,2.2314,431.6,False
69,-126.0311,2.2173,428.9,False
70,-126.0243,2.1986,425.2,False
71,-126.0169,2.2207,429.5,False
72,-126.0090,2.1984,425.2,False
73,-126.0013,2.1961,424.7,False
74,-125.9940,2.1998,425.5,False
75,-125.9879,2.2256,430.4,False
76,-125.9810,2.2020,425.9,False
77,-125.9744,2.1777,421.2,False
78,-125.9687,2.1774,421.1,False
79,-125.9631,2.2035,426.2,False
80,-125.9580,2.1049,407.1,False
81,-125.9529,2.1217,410.4,False
82,-125.9475,2.0902,404.3,False
83,-125.9413,2.0655,399.5,False
84,-125.9356,2.0530,397.1,False
85,-125.9299,2.0295,392.5,False
86,-125.9251,2.0315,392.9,False
87,-125.9214,2.0786,402.0,False
88,-125.9186,2.1006,406.3,False
89,-125.9158,2.0783,402.0,False
90,-125.9135,2.1048,407.1,False
91,-125.9122,2.1819,422.0,False
92,-125.9118,2.2750,440.0,False
93,-125.9119,2.2749,440.0,False
94,-125.9127,2.2631,437.7,False
95,-125.9138,2.2826,441.5,False
96,-125.9142,2.2926,443.4,False
97,-125.9149,2.2668,438.4,False
98,-125.9163,2.2512,435.4,False
99,-125.9182,2.2637,437.8,False
100,-125.9213,2.2747,439.9,False
101,-125.9247,2.2726,439.5,False
102,-125.9289,2.3185,448.4,False
103,-125.9326,2.3530,455.1,False
104,-125.9358,2.3338,451.4,False
105,-125.9394,2.2790,440.8,False
106,-125.9440,2.3008,445.0,False
107,-125.9492,2.2983,444.5,False
108,-125.9545,2.3318,451.0,False
109,-125.9595,2.3067,446.1,False
110,-125.9645,2.2947,443.8,False
111,-125.9695,2.2523,435.6,False
112,-125.9748,2.2706,439.1,False
113,-125.9801,2.2711,439.2,False
114,-125.9851,2.3535,455.2,False
115,-125.9901,2.3524,455.0,False
116,-125.9949,2.3452,453.6,False
117,-125.9999,2.3493,454.4,False
118,-126.0043,2.3512,454.7,False
119,-126.0092,2.2735,439.7,False
120,-126.0138,2.2350,432.3,False
121,-126.0186,2.2098,427.4,False
122,-126.0232,2.1821,422.0,False
123,-126.0275,2.1720,420.1,False
124,-126.0322,2.2651,438.1,False
125,-126.0372,2.2758,440.2,False
126,-126.0418,2.2917,443.2,False
127,-126.0465,2.3380,452.2,False
128,-126.0515,2.2851,442.0,False
129,-126.0567,2.2388,433.0,False
130,-126.0619,2.2921,443.3,False
131,-126.0664,2.3480,454.1,False
132,-126.0701,2.3916,462.6,False
133,-126.0736,2.4486,473.6,False
134,-126.0766,2.3719,458.7,False
135,-126.0792,2.4746,478.6,False
136,-126.0818,2.4397,471.9,False
137,-126.0841,2.4336,470.7,False
138,-126.0860,2.4412,472.2,False
139,-126.0874,2.4678,477.3,False
140,-126.0886,2.5384,491.0,False
141,-126.0897,2.5437,492.0,False
142,-126.0905,2.4932,482.2,False
143,-126.0907,2.4635,476.5,False
144,-126.0902,2.4758,478.8,False
145,-126.0896,2.3967,463.6,False
146,-126.0883,2.4001,464.2,False
147,-126.0872,2.4127,466.6,False
148,-126.0860,2.3671,457.8,False
149,-126.0837,2.3466,453.8,False
150,-126.0807,2.3581,456.1,False
151,-126.0767,2.3895,462.1,False
152,-126.0726,2.3861,461.5,False
153,-126.0681,2.3932,462.9,False
154,-126.0630,2.4189,467.8,False
155,-126.0574,2.4168,467.4,False
156,-126.0517,2.4057,465.3,False
157,-126.0454,2.3605,456.5,False
158,-126.0385,2.4163,467.3,False
159,-126.0310,2.4223,468.5,False
160,-126.0230,2.4013,464.4,False
161,-126.0150,2.4649,476.7,False
162,-126.0065,2.4507,474.0,False
163,-125.9975,2.4435,472.6,False
164,-125.9882,2.4230,468.6,False
165,-125.9783,2.4195,467.9,False
166,-125.9673,2.4435,472.6,False
167,-125.9556,2.4762,478.9,False
168,-125.9442,2.5257,488.5,False
169,-125.9324,2.5595,495.0,False
170,-125.9200,2.5889,500.7,False
171,-125.9075,2.4889,481.4,False
172,-125.8951,2.4888,481.4,False
173,-125.8832,2.3837,461.0,False
174,-125.8715,2.3363,451.9,False
175,-125.8604,2.2834,441.6,False
176,-125.8490,2.2927,443.4,False
177,-125.8378,2.2719,439.4,False
178,-125.8278,2.2418,433.6,False
179,-125.8186,2.2563,436.4,False
180,-125.8103,2.2284,431.0,False
181,-125.8023,2.2739,439.8,False
182,-125.7946,2.3500,454.5,False
183,-125.7873,2.3831,460.9,False
184,-125.7802,2.3933,462.9,False
185,-125.7727,2.4024,464.6,False
186,-125.7653,2.4398,471.9,False
187,-125.7587,2.4080,465.7,False
188,-125.7525,2.3867,461.6,False
189,-125.7472,2.3747,459.3,False
190,-125.7418,2.3712,458.6,False
191,-125.7360,2.3497,454.5,False
192,-125.7304,2.3860,461.5,False
193,-125.7255,2.3950,463.2,False
194,-125.7207,2.4046,465.1,False
195,-125.7154,2.4164,467.4,False
196,-125.7100,2.3991,464.0,False
197,-125.7044,2.4528,474.4,False
198,-125.6984,2.4842,480.5,False
199,-125.6919,2.4609,476.0,False
200,-125.6856,2.4818,480.0,False
201,-125.6793,2.4785,479.4,False
202,-125.6731,2.5190,487.2,False
203,-125.6682,2.5161,486.6,False
204,-125.6639,2.4280,469.6,False
205,-125.6601,2.4739,478.5,False
206,-125.6838,2.4201,468.1,True
207,-125.6525,2.3853,461.3,False
208,-125.6482,2.3283,450.3,False
209,-125.6442,2.3142,447.6,False
210,-125.6403,2.3053,445.9,False
211,-125.6361,2.2911,443.1,False
212,-125.6313,2.2229,429.9,False
213,-125.6266,2.2036,426.2,False
214,-125.6218,2.3527,455.0,False
215,-125.6171,2.4211,468.3,False
216,-125.6366,2.3936,462.9,True
217,-125.6077,2.5100,485.4,False
218,-125.6043,2.4183,467.7,False
219,-125.6013,2.4482,473.5,False
220,-125.5991,2.4461,473.1,False
221,-125.5972,2.4660,476.9,False
222,-125.5959,2.5026,484.0,False
223,-125.5955,2.4920,482.0,False
224,-125.5950,2.4238,468.8,False
225,-125.5947,2.4015,464.5,False
226,-125.6202,2.4331,470.6,True
227,-125.5960,2.4526,474.4,False
228,-125.5971,2.4172,467.5,False
229,-125.5986,2.4195,467.9,False
230,-125.5999,2.3478,454.1,False
231,-125.6015,2.3444,453.4,False
232,-125.6046,2.3203,448.8,False
233,-125.6074,2.2866,442.2,False
234,-125.6103,2.2760,440.2,False
235,-125.6133,2.2767,440.3,False
236,-125.6423,2.2786,440.7,True
237,-125.6210,2.3566,455.8,False
238,-125.6259,2.3415,452.9,False
239,-125.6321,2.3084,446.5,False
240,-125.6382,2.2952,443.9,False
241,-125.6445,2.3437,453.3,False
242,-125.6506,2.3216,449.0,False
243,-125.6567,2.3480,454.1,False
244,-125.6632,2.3339,451.4,False
245,-125.6704,2.3667,457.7,False
246,-125.7044,2.3311,450.9,True
247,-125.6847,2.3758,459.5,False
248,-125.6912,2.3626,456.9,False
249,-125.6967,2.3160,447.9,False
250,-125.7018,2.2301,431.3,False
251,-125.7070,2.2426,433.7,False
252,-125.7118,2.2711,439.2,False
253,-125.7165,2.3292,450.5,False
254,-125.7219,2.4181,467.7,False
255,-125.7272,2.4106,466.2,False
256,-125.7564,2.4608,475.9,True
257,-125.7381,2.4380,471.5,False
258,-125.7429,2.4099,466.1,False
259,-125.7485,2.4612,476.0,False
260,-125.7544,2.4306,470.1,False
261,-125.7602,2.4618,476.1,False
262,-125.7662,2.4794,479.5,False
263,-125.7723,2.4502,473.9,False
264,-125.7780,2.4978,483.1,False
265,-125.7834,2.5159,486.6,False
266,-125.8139,2.6424,511.1,True
267,-125.7937,2.6381,510.2,False
268,-125.7986,2.6779,517.9,False
269,-125.8028,2.6938,521.0,False
270,-125.8062,2.5964,502.2,False
271,-125.8093,2.6151,505.8,False
272,-125.8123,2.5847,499.9,False
273,-125.8155,2.5348,490.3,False
274,-125.8185,2.6072,504.3,False
275,-125.8213,2.6612,514.7,False
276,-125.8503,2.6992,522.0,True
277,-125.8251,2.7319,528.4,False
278,-125.8271,2.7006,522.3,False
279,-125.8289,2.7504,532.0,False
280,-125.8306,2.7622,534.2,False
281,-125.8326,2.7757,536.9,False
282,-125.8353,2.7740,536.5,False
283,-125.8382,2.8638,553.9,False
284,-125.8405,2.7546,532.8,False
285,-125.8430,2.8174,544.9,False
286,-125.8732,2.8051,542.5,True
287,-125.8468,2.7739,536.5,False
288,-125.8488,2.7030,522.8,False
