Step,E_pot,E_kin,Temp,AddedToTrainingSet
0,-336.8767,8.2726,1000.0,False
1,-336.7537,8.0016,967.2,False
2,-336.6318,7.7347,935.0,False
3,-336.5224,7.6877,929.3,False
4,-336.4402,7.6412,923.7,False
5,-336.3850,7.6158,920.6,False
6,-336.3682,7.6939,930.0,False
7,-336.3973,7.6790,928.2,False
8,-336.4730,7.7755,939.9,False
9,-336.6009,8.0648,974.9,False
10,-336.7659,8.2294,994.8,False
11,-336.9695,8.4750,1024.5,False
12,-337.2059,8.8859,1074.1,False
13,-337.4683,9.1345,1104.2,False
14,-337.7265,9.4133,1137.9,False
15,-337.9672,9.7013,1172.7,False
16,-338.1826,10.1206,1223.4,False
17,-338.3694,10.2885,1243.7,False
18,-338.5378,10.4956,1268.7,False
19,-338.6708,10.4888,1267.9,False
20,-338.7566,10.4054,1257.8,False
21,-338.8026,10.2045,1233.5,False
22,-338.8079,10.1231,1223.7,False
23,-338.7775,10.0265,1212.0,False
24,-338.7107,9.9082,1197.7,False
25,-338.6075,9.7104,1173.8,False
26,-338.4837,9.4948,1147.7,False
27,-338.3465,9.2952,1123.6,False
28,-338.2054,9.1669,1108.1,False
29,-338.0609,9.2291,1115.6,False
30,-337.9263,9.1423,1105.1,False
31,-337.8080,8.8396,1068.5,False
32,-337.7050,8.6578,1046.6,False
33,-337.6086,8.4903,1026.3,False
34,-337.5235,8.4610,1022.8,False
35,-337.4507,8.3021,1003.6,False
36,-337.3994,8.1520,985.4,False
37,-337.3714,8.0226,969.8,False
38,-337.3694,8.0920,978.2,False
39,-337.3952,8.0538,973.5,False
40,-337.4557,8.2872,1001.8,False
41,-337.5467,8.2608,998.6,False
42,-337.6498,8.3025,1003.6,False
43,-337.7659,8.3084,1004.3,False
44,-337.8849,8.2388,995.9,False
45,-338.0086,8.3525,1009.7,False
46,-338.1224,8.5089,1028.6,False
47,-338.2289,8.8013,1063.9,False
48,-338.3225,8.8045,1064.3,False
49,-338.3993,8.7019,1051.9,False
50,-338.4626,8.7119,1053.1,False
51,-338.5146,8.7520,1057.9,False
52,-338.5485,8.7349,1055.9,False
53,-338.5602,8.5297,1031.1,False
54,-338.5659,8.4314,1019.2,False
55,-338.5565,8.4209,1017.9,False
56,-338.5265,8.5270,1030.8,False
57,-338.4841,8.4800,1025.1,False
58,-338.4393,8.4790,1025.0,False
59,-338.3867,8.4053,1016.0,False
60,-338.3170,8.4809,1025.2,False
61,-338.2372,8.3805,1013.0,False
